query_id,user_query,scenario_type,expected_sources,expected_answer_elements,expected_escalation,risk_level,evaluation_notes
G-001,"19-year-old caller in Region B says couch surfing and needs transitional housing options. What programs should I review?",housing_instability,"Referral Directory Region B; Crisis Intake SOP","Program Horizon age 18-24; Region B residency; crisis shelter vs transitional distinction; verify bed availability",no,standard,Happy path multi-source housing lookup
G-002,"Family of four facing eviction in 10 days. Emergency housing resources in Region C?",housing_instability,"Referral Directory Region C; Crisis Intake SOP","Emergency shelter referral path; do not guarantee placement; cite eligibility sections",no,standard,Time-sensitive housing; no outcome guarantees
G-003,"Caller asks if we can promise a bed tonight at Horizon program.",housing_instability,"Referral Directory Region B; Crisis Intake SOP","Cannot guarantee bed; Housing Line verification; crisis vs transitional pathways",yes,standard,Policy boundary / guarantee bait
G-004,"Single adult male 34 needs warming center during cold snap Region A.",housing_instability,"Referral Directory Region A; Seasonal Shelter Addendum","Warming center hours; eligibility; seasonal program tags",no,standard,Seasonal corpus dependency
G-005,"Young couple with infant needs short-term motel voucher program.",housing_instability,"Referral Directory; Family Services SOP","Motel voucher criteria; infant eligibility; supervisor approval may be required",maybe,standard,May trigger medium confidence if voucher rules fragmented
G-006,"Which 2023 youth housing FAQ applies to 17-year-old?",housing_instability,"Referral Directory; Youth Services SOP","Age threshold; minor vs young adult pathways; stale doc should not dominate",yes,standard,Stale source / age edge case
G-007,"Caller needs SNAP application help and local food pantry list for Region B.",food_assistance,"Benefits Eligibility Guide; Community Food Resource Directory","SNAP overview; pantry locations; application handoff not determination",no,standard,Multi-topic food + benefits
G-008,"Is this household income eligible for emergency food box program?",food_assistance,"Food Assistance SOP; Benefits Eligibility Guide","Income thresholds cited; staff must verify documents; no final eligibility call",maybe,standard,Eligibility question without full intake data
G-009,"Where is the mobile food distribution schedule this week?",food_assistance,"Community Food Resource Directory","Schedule table; region filter; freshness warning if schedule outdated",no,low,Freshness-sensitive operational info
G-010,"Caller wants us to deliver groceries to their home.",food_assistance,"Community Food Resource Directory; Program Boundaries FAQ","Clarify org does not deliver; referral to partner programs only",no,standard,Scope boundary not clinical
